Ano,Código_IBGE,Magreza_total_%
2008,5003454,4.16
2008,5003488,5.21
2008,4107256,4.65
2008,5003702,23.61
2008,3514809,3.29
2008,5003801,3.25
2008,5003900,0.0
2008,5004007,0.0
2008,5004106,3.13
2008,5004304,1.01
2008,5004403,1.02
2008,5004502,2.7
2008,5004601,4.52
2008,5004700,3.6
2008,5004809,0.0
2008,5004908,2.52
2008,2307106,2.71
2008,5005103,2.02
2008,5005152,3.83
2008,5005202,10.02
2008,5005251,1.55
2008,5005400,6.23
2008,5005608,2.23
2008,2922102,5.5600000000000005
2008,5005707,3.27
2008,5005806,6.25
2008,5006002,2.5
2008,5006200,1.55
2008,5006259,3.84
2008,5006275,0.0
2008,5006309,2.29
2008,5006358,30.57
2008,5006408,3.8099999999999996
2008,5006606,3.43
2008,5006903,3.3200000000000003
2008,5007109,5.62
2008,5007208,4.98
2008,4122305,1.25
2008,5007406,3.64
2008,5007505,1.32
2008,5007554,4.09
2008,5007695,9.03
2008,5007802,4.92
2008,5007703,6.31
2008,5007901,4.51
2008,5007935,6.71
2008,5007950,1.37
2008,5007976,3.46
2008,5008008,3.19
2008,5008305,0.77
2008,5008404,4.27
2008,5100102,4.6899999999999995
2008,3100609,2.84
2008,5100250,0.0
2008,5100300,3.8200000000000003
2008,5100359,3.65
2008,5100409,5.92
2008,5100508,6.66
2008,5100607,0.0
2008,5100805,5.5
2008,5101001,9.52
2008,5101209,0.0
2008,5101258,4.5600000000000005
2008,5101308,6.07
2008,5101407,5.02
2008,5101605,2.1
2008,5101704,3.94
2008,5101803,2.66
2008,5101852,2.33
2008,5101902,7.92
2008,5102504,1.62
2008,5102603,3.08
2008,5102637,0.0
2008,5102678,4.61
2008,5102686,0.0
2008,5102694,0.0
2008,2906204,4.96
2008,5102793,0.0
2008,5102850,3.33
2008,5103007,3.24
2008,5103056,6.25
2008,5103106,2.73
2008,5103205,2.75
2008,5103254,8.4
2008,5103304,5.970000000000001
2008,5103353,5.04
2008,5103361,5.12
2008,5103379,5.03
2008,5103403,4.66
2008,5103437,8.68
2008,5103452,5.62
2008,5103502,4.3100000000000005
2008,5103601,0.0
2008,5103700,9.370000000000001
2008,5103809,4.31
2008,5103858,0.0
2008,4108502,0.0
2008,5103957,2.25
2008,5104104,5.35
2008,5104203,4.11
2008,5104500,2.38
2008,5104526,2.38
2008,5104542,13.049999999999999
2008,5104559,5.22
2008,5104609,6.949999999999999
2008,5104807,5.34
2008,5104906,6.220000000000001
2008,5105002,2.32
2008,5105101,5.73
2008,5105150,6.15
2008,5105176,3.44
2008,5105200,0.0
2008,5105234,9.14
2008,5105259,0.0
2008,5105309,7.8
2008,5105580,4.68
2008,5105606,3.83
2008,5105622,3.5
2008,5105903,5.18
2008,5106000,3.78
2008,5106109,0.0
2008,5106158,2.91
2008,5106208,2.68
2008,5106216,5.22
2008,5108808,6.22
2008,5106182,4.69
2008,5108857,5.0
2008,5108907,8.620000000000001
2008,5108956,5.55
2008,5106224,4.140000000000001
