Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
13,Amazonas,AM,1300300,Autazes,Norte,-3.583328,-59.130152
13,Amazonas,AM,1300409,Barcelos,Norte,-0.972921,-62.925635
13,Amazonas,AM,1300508,Barreirinha,Norte,-2.798863,-57.067897
13,Amazonas,AM,1300607,Benjamin Constant,Norte,-4.378275,-70.02906
13,Amazonas,AM,1300631,Beruri,Norte,-3.900713,-61.371732
13,Amazonas,AM,1300680,Boa Vista do Ramos,Norte,-2.971693,-57.586982
13,Amazonas,AM,1300706,Boca do Acre,Norte,-8.755349,-67.393087
13,Amazonas,AM,1300805,Borba,Norte,-4.387468999999999,-59.5937955
13,Amazonas,AM,1300839,Caapiranga,Norte,-3.318888,-61.20964
13,Amazonas,AM,1300904,Canutama,Norte,-6.533002,-64.383497
13,Amazonas,AM,1301001,Carauari,Norte,-4.876643,-66.896143
13,Amazonas,AM,1301100,Careiro,Norte,-3.818528,-60.361651
13,Amazonas,AM,1301159,Careiro da Várzea,Norte,-3.197024,-59.82591
13,Amazonas,AM,1301209,Coari,Norte,-4.085769,-63.141068000000004
13,Amazonas,AM,1301308,Codajás,Norte,-3.84132,-62.060344
13,Amazonas,AM,1301407,Eirunepé,Norte,-6.656765,-69.866161
13,Amazonas,AM,1301506,Envira,Norte,-7.437889,-70.028143
13,Amazonas,AM,1301605,Fonte Boa,Norte,-2.514746,-66.094842
13,Amazonas,AM,1301654,Guajará,Norte,-7.545593,-72.583277
13,Amazonas,AM,1301704,Humaitá,Norte,-7.50994,-63.024867
13,Amazonas,AM,1301803,Ipixuna,Norte,-7.047909,-71.693426
13,Amazonas,AM,1301852,Iranduba,Norte,-3.27582,-60.186743
13,Amazonas,AM,1301902,Itacoatiara,Norte,-3.14779,-58.446104
13,Amazonas,AM,1301951,Itamarati,Norte,-6.438519,-68.243739
13,Amazonas,AM,1302009,Itapiranga,Norte,-2.748009,-58.0227545
13,Amazonas,AM,1302108,Japurá,Norte,-1.880847,-66.996766
13,Amazonas,AM,1302207,Juruá,Norte,-3.474667,-66.062234
13,Amazonas,AM,1302306,Jutaí,Norte,-2.747148,-66.772126
13,Amazonas,AM,1302405,Lábrea,Norte,-7.261368,-64.792451
13,Amazonas,AM,1302504,Manacapuru,Norte,-3.299677,-60.621353
13,Amazonas,AM,1302553,Manaquiri,Norte,-3.432529,-60.459756
13,Amazonas,AM,1302603,Manaus,Norte,-3.131633,-59.982504
13,Amazonas,AM,1302702,Manicoré,Norte,-5.804618,-61.289483
13,Amazonas,AM,1302801,Maraã,Norte,-1.853558,-65.589775
13,Amazonas,AM,1302900,Maués,Norte,-3.37958,-57.719607
13,Amazonas,AM,1303007,Nhamundá,Norte,-2.192152,-56.711131
13,Amazonas,AM,1303106,Nova Olinda do Norte,Norte,-3.892689,-59.095305
13,Amazonas,AM,1303205,Novo Airão,Norte,-2.626024,-60.943441
