Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2008,Norte,RO,1100015,ALTA FLORESTA D'OESTE,Rural,Publico,--,--,--
2008,Norte,RO,1100023,ARIQUEMES,Rural,Publico,--,--,--
2008,Norte,RO,1100049,CACOAL,Rural,Publico,--,--,--
2008,Norte,RO,1100056,CEREJEIRAS,Rural,Publico,--,--,--
2008,Norte,RO,1100064,COLORADO DO OESTE,Rural,Publico,77.7,22,0.3
2008,Norte,RO,1100072,CORUMBIARA,Rural,Publico,--,--,--
2008,Norte,RO,1100080,COSTA MARQUES,Rural,Publico,--,--,--
2008,Norte,RO,1100098,ESPIGAO D'OESTE,Rural,Publico,--,--,--
2008,Norte,RO,1100106,GUAJARA-MIRIM,Rural,Publico,--,--,--
2008,Norte,RO,1100114,JARU,Rural,Publico,72.2,12.8,15
2008,Norte,RO,1100122,JI-PARANA,Rural,Publico,93.3,2.1,4.6
2008,Norte,RO,1100130,MACHADINHO D'OESTE,Rural,Publico,--,--,--
2008,Norte,RO,1100148,NOVA BRASILANDIA D'OESTE,Rural,Publico,85.8,0.9,13.3
2008,Norte,RO,1100155,OURO PRETO DO OESTE,Rural,Publico,--,--,--
2008,Norte,RO,1100189,PIMENTA BUENO,Rural,Publico,--,--,--
2008,Norte,RO,1100205,PORTO VELHO,Rural,Publico,72.1,7.2,20.7
2008,Norte,RO,1100254,PRESIDENTE MEDICI,Rural,Publico,66.7,14.4,18.9
2008,Norte,RO,1100262,RIO CRESPO,Rural,Publico,--,--,--
2008,Norte,RO,1100288,ROLIM DE MOURA,Rural,Publico,--,--,--
2008,Norte,RO,1100296,SANTA LUZIA D'OESTE,Rural,Publico,--,--,--
2008,Norte,RO,1100304,VILHENA,Rural,Publico,--,--,--
2008,Norte,RO,1100320,SAO MIGUEL DO GUAPORE,Rural,Publico,--,--,--
2008,Norte,RO,1100338,NOVA MAMORE,Rural,Publico,63,10.4,26.6
