Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2016,Norte,AM,1300409,Barcelos,Rural,Pública,75.9,0.5,23.6
2016,Norte,AM,1300508,Barreirinha,Rural,Pública,84.5,0.7,14.8
2016,Norte,AM,1300607,Benjamin Constant,Rural,Pública,84.7,7.8,7.5
2016,Norte,AM,1300631,Beruri,Rural,Pública,83.2,2.4,14.4
2016,Norte,AM,1300680,Boa Vista do Ramos,Rural,Pública,81.5,2.7,15.8
2016,Norte,AM,1300706,Boca do Acre,Rural,Pública,84.3,8.4,7.3
2016,Norte,AM,1300805,Borba,Rural,Pública,87.0,11.0,2.0
2016,Norte,AM,1300839,Caapiranga,Rural,Pública,86.3,3.2,10.5
2016,Norte,AM,1300904,Canutama,Rural,Pública,83.9,4.3,11.8
2016,Norte,AM,1301001,Carauari,Rural,Pública,83.9,0.9,15.2
2016,Norte,AM,1301100,Careiro,Rural,Pública,93.0,1.1,5.9
2016,Norte,AM,1301159,Careiro da Várzea,Rural,Pública,92.0,0.8,7.2
2016,Norte,AM,1301209,Coari,Rural,Pública,82.8,1.9,15.3
2016,Norte,AM,1301308,Codajás,Rural,Pública,87.0,0.0,13.0
2016,Norte,AM,1301407,Eirunepé,Rural,Pública,--,--,--
2016,Norte,AM,1301506,Envira,Rural,Pública,--,--,--
2016,Norte,AM,1301605,Fonte Boa,Rural,Pública,90.6,0.0,9.4
2016,Norte,AM,1301654,Guajará,Rural,Pública,85.3,9.5,5.2
2016,Norte,AM,1301704,Humaitá,Rural,Pública,86.1,4.3,9.6
2016,Norte,AM,1301803,Ipixuna,Rural,Pública,72.0,5.3,22.7
2016,Norte,AM,1301852,Iranduba,Rural,Pública,83.9,1.4,14.7
2016,Norte,AM,1301902,Itacoatiara,Rural,Pública,92.0,1.1,6.9
2016,Norte,AM,1301951,Itamarati,Rural,Pública,--,--,--
2016,Norte,AM,1302009,Itapiranga,Rural,Pública,85.7,2.0,12.3
2016,Norte,AM,1302108,Japurá,Rural,Pública,92.4,0.0,7.6
2016,Norte,AM,1302207,Juruá,Rural,Pública,88.4,0.0,11.6
2016,Norte,AM,1302306,Jutaí,Rural,Pública,84.9,1.0,14.1
2016,Norte,AM,1302405,Lábrea,Rural,Pública,81.7,0.0,18.3
2016,Norte,AM,1302504,Manacapuru,Rural,Pública,87.5,5.5,7.0
2016,Norte,AM,1302553,Manaquiri,Rural,Pública,92.8,0.0,7.2
2016,Norte,AM,1302603,Manaus,Rural,Pública,82.3,0.1,17.6
2016,Norte,AM,1302702,Manicoré,Rural,Pública,80.4,3.9,15.7
2016,Norte,AM,1302801,Maraã,Rural,Pública,70.2,27.6,2.2
2016,Norte,AM,1302900,Maués,Rural,Pública,73.2,26.0,0.8
2016,Norte,AM,1303007,Nhamundá,Rural,Pública,89.4,0.5,10.1
2016,Norte,AM,1303106,Nova Olinda do Norte,Rural,Pública,82.4,0.9,16.7
2016,Norte,AM,1303205,Novo Airão,Rural,Pública,84.9,1.4,13.7
2016,Norte,AM,1303304,Novo Aripuanã,Rural,Pública,81.2,0.0,18.8
2016,Norte,AM,1303403,Parintins,Rural,Pública,88.7,1.1,10.2
2016,Norte,AM,1303502,Pauini,Rural,Pública,60.6,39.4,0.0
2016,Norte,AM,1303536,Presidente Figueiredo,Rural,Pública,69.6,10.8,19.6
2016,Norte,AM,1303569,Rio Preto da Eva,Rural,Pública,80.9,0.0,19.1
