Código_IBGE,Ano,Populacao,Magreza_total_%,PIB,Poverty_%,Unemployed_%
3102407,2020,3605,2.78,32066.73,17.06,12.475
3153004,2020,3631,2.41,32066.73,17.06,12.475
3120706,2020,3639,3.51,32066.73,17.06,12.475
3149200,2020,3643,7.5,32066.73,17.06,12.475
3115409,2020,3653,5.51,32066.73,17.06,12.475
3122470,2020,3655,2.16,32066.73,17.06,12.475
3119906,2020,3694,2.0,32066.73,17.06,12.475
3167905,2020,3708,0.0,32066.73,17.06,12.475
3110806,2020,3730,2.51,32066.73,17.06,12.475
3141207,2020,3741,5.62,32066.73,17.06,12.475
3160900,2020,3754,3.33,32066.73,17.06,12.475
3159100,2020,3765,5.63,32066.73,17.06,12.475
3134509,2020,3768,7.229999999999999,32066.73,17.06,12.475
3128501,2020,3775,4.81,32066.73,17.06,12.475
3121704,2020,3790,4.8100000000000005,32066.73,17.06,12.475
3160207,2020,3799,4.23,32066.73,17.06,12.475
3111150,2020,3824,4.34,32066.73,17.06,12.475
3157609,2020,3826,8.06,32066.73,17.06,12.475
3141306,2020,3832,4.66,32066.73,17.06,12.475
3102209,2020,3844,3.71,32066.73,17.06,12.475
3160108,2020,3886,4.27,32066.73,17.06,12.475
3158409,2020,3891,1.02,32066.73,17.06,12.475
3141900,2020,3893,5.68,32066.73,17.06,12.475
3161601,2020,3910,4.23,32066.73,17.06,12.475
3125002,2020,3923,2.02,32066.73,17.06,12.475
3115201,2020,3946,4.02,32066.73,17.06,12.475
3110202,2020,3974,2.8200000000000003,32066.73,17.06,12.475
3148905,2020,3974,2.44,32066.73,17.06,12.475
3158607,2020,3981,5.88,32066.73,17.06,12.475
3109253,2020,3983,5.550000000000001,32066.73,17.06,12.475
3100401,2020,3994,3.77,32066.73,17.06,12.475
3140308,2020,4034,2.38,32066.73,17.06,12.475
3171105,2020,4045,2.85,32066.73,17.06,12.475
3154705,2020,4047,2.13,32066.73,17.06,12.475
3114600,2020,4049,2.54,32066.73,17.06,12.475
3161650,2020,4059,3.36,32066.73,17.06,12.475
3137304,2020,4082,4.19,32066.73,17.06,12.475
3140100,2020,4097,5.76,32066.73,17.06,12.475
3168309,2020,4099,5.71,32066.73,17.06,12.475
3165909,2020,4105,5.31,32066.73,17.06,12.475
3157377,2020,4107,5.0,32066.73,17.06,12.475
3169059,2020,4109,1.69,32066.73,17.06,12.475
3150208,2020,4140,5.81,32066.73,17.06,12.475
3163201,2020,4210,4.42,32066.73,17.06,12.475
3131406,2020,4225,2.5,32066.73,17.06,12.475
3123304,2020,4230,6.52,32066.73,17.06,12.475
3107604,2020,4244,1.9,32066.73,17.06,12.475
3150000,2020,4256,3.59,32066.73,17.06,12.475
3163003,2020,4280,4.63,32066.73,17.06,12.475
3152131,2020,4283,4.0,32066.73,17.06,12.475
3170438,2020,4284,1.74,32066.73,17.06,12.475
3166501,2020,4292,5.430000000000001,32066.73,17.06,12.475
3108701,2020,4293,0.85,32066.73,17.06,12.475
3159001,2020,4315,3.06,32066.73,17.06,12.475
3136801,2020,4345,4.56,32066.73,17.06,12.475
3127404,2020,4355,0.0,32066.73,17.06,12.475
3132602,2020,4375,4.23,32066.73,17.06,12.475
3157500,2020,4381,2.56,32066.73,17.06,12.475
3135308,2020,4384,2.8200000000000003,32066.73,17.06,12.475
3127206,2020,4392,5.49,32066.73,17.06,12.475
3157302,2020,4407,2.54,32066.73,17.06,12.475
3120102,2020,4423,5.45,32066.73,17.06,12.475
3149606,2020,4432,3.73,32066.73,17.06,12.475
3140605,2020,4436,4.24,32066.73,17.06,12.475
3126307,2020,4437,2.5,32066.73,17.06,12.475
3162658,2020,4448,3.53,32066.73,17.06,12.475
3122603,2020,4451,3.0900000000000003,32066.73,17.06,12.475
3114808,2020,4461,0.0,32066.73,17.06,12.475
3146404,2020,4462,2.37,32066.73,17.06,12.475
3150307,2020,4466,2.88,32066.73,17.06,12.475
3136108,2020,4476,4.13,32066.73,17.06,12.475
3136520,2020,4487,4.5,32066.73,17.06,12.475
3100807,2020,4522,2.83,32066.73,17.06,12.475
3111705,2020,4548,6.17,32066.73,17.06,12.475
3112059,2020,4551,1.36,32066.73,17.06,12.475
3112059,2020,4551,4.07,32066.73,17.06,12.475
3112059,2020,4551,4.29,32066.73,17.06,12.475
3127057,2020,4561,3.03,32066.73,17.06,12.475
3156106,2020,4562,4.59,32066.73,17.06,12.475
3117405,2020,4578,9.26,32066.73,17.06,12.475
3106606,2020,4607,2.58,32066.73,17.06,12.475
3163904,2020,4610,1.92,32066.73,17.06,12.475
3156452,2020,4622,3.75,32066.73,17.06,12.475
3112208,2020,4634,5.94,32066.73,17.06,12.475
3145851,2020,4663,4.07,32066.73,17.06,12.475
3102506,2020,4678,6.119999999999999,32066.73,17.06,12.475
3125408,2020,4704,1.03,32066.73,17.06,12.475
3124401,2020,4710,0.0,32066.73,17.06,12.475
3157401,2020,4725,5.58,32066.73,17.06,12.475
3136405,2020,4727,2.33,32066.73,17.06,12.475
3144409,2020,4728,7.36,32066.73,17.06,12.475
3106655,2020,4764,4.59,32066.73,17.06,12.475
3105202,2020,4766,6.38,32066.73,17.06,12.475
3108800,2020,4769,2.97,32066.73,17.06,12.475
3135902,2020,4780,2.6500000000000004,32066.73,17.06,12.475
3161403,2020,4800,3.89,32066.73,17.06,12.475
3166956,2020,4809,3.21,32066.73,17.06,12.475
3148400,2020,4812,3.41,32066.73,17.06,12.475
3154408,2020,4817,5.83,32066.73,17.06,12.475
3168101,2020,4832,3.33,32066.73,17.06,12.475
3168101,2020,4832,0.0,32066.73,17.06,12.475
3158805,2020,4834,3.31,32066.73,17.06,12.475
3171154,2020,4846,1.84,32066.73,17.06,12.475
3104809,2020,4851,6.15,32066.73,17.06,12.475
3135407,2020,4852,3.45,32066.73,17.06,12.475
3116407,2020,4853,4.88,32066.73,17.06,12.475
3159308,2020,4863,2.92,32066.73,17.06,12.475
3136579,2020,4889,0.0,32066.73,17.06,12.475
3142254,2020,4914,3.02,32066.73,17.06,12.475
3138351,2020,4920,6.98,32066.73,17.06,12.475
3143153,2020,4923,2.74,32066.73,17.06,12.475
3162252,2020,4932,3.22,32066.73,17.06,12.475
3142304,2020,4934,3.15,32066.73,17.06,12.475
3115474,2020,4965,6.37,32066.73,17.06,12.475
3122108,2020,4974,5.46,32066.73,17.06,12.475
3150539,2020,4986,6.07,32066.73,17.06,12.475
3128253,2020,4989,1.97,32066.73,17.06,12.475
3120839,2020,5005,7.5,32066.73,17.06,12.475
3150406,2020,5009,0.0,32066.73,17.06,12.475
3129400,2020,5010,7.609999999999999,32066.73,17.06,12.475
3105707,2020,5015,3.48,32066.73,17.06,12.475
3170651,2020,5026,4.62,32066.73,17.06,12.475
3121308,2020,5029,0.0,32066.73,17.06,12.475
3138500,2020,5031,2.96,32066.73,17.06,12.475
3118106,2020,5046,3.03,32066.73,17.06,12.475
3122504,2020,5048,1.77,32066.73,17.06,12.475
3136553,2020,5050,3.78,32066.73,17.06,12.475
3120607,2020,5054,4.19,32066.73,17.06,12.475
3169802,2020,5070,1.4,32066.73,17.06,12.475
3163102,2020,5079,0.94,32066.73,17.06,12.475
3107208,2020,5089,1.94,32066.73,17.06,12.475
3127339,2020,5096,6.77,32066.73,17.06,12.475
3139102,2020,5109,6.75,32066.73,17.06,12.475
3155108,2020,5133,4.04,32066.73,17.06,12.475
3123106,2020,5154,5.819999999999999,32066.73,17.06,12.475
3120409,2020,5156,5.24,32066.73,17.06,12.475
3164100,2020,5202,1.88,32066.73,17.06,12.475
3135704,2020,5207,5.43,32066.73,17.06,12.475
3158102,2020,5217,2.39,32066.73,17.06,12.475
3122702,2020,5232,2.43,32066.73,17.06,12.475
3126604,2020,5242,3.09,32066.73,17.06,12.475
3172103,2020,5261,0.39,32066.73,17.06,12.475
3104452,2020,5269,2.7,32066.73,17.06,12.475
3127073,2020,5299,2.98,32066.73,17.06,12.475
3145372,2020,5324,3.1,32066.73,17.06,12.475
3126752,2020,5338,4.43,32066.73,17.06,12.475
3171907,2020,5340,4.529999999999999,32066.73,17.06,12.475
3153103,2020,5341,2.54,32066.73,17.06,12.475
3153103,2020,5341,0.0,32066.73,17.06,12.475
3146750,2020,5349,0.55,32066.73,17.06,12.475
3160801,2020,5349,1.27,32066.73,17.06,12.475
3105509,2020,5354,2.39,32066.73,17.06,12.475
3165578,2020,5361,1.23,32066.73,17.06,12.475
3129657,2020,5369,4.73,32066.73,17.06,12.475
3133907,2020,5369,2.99,32066.73,17.06,12.475
3123858,2020,5377,2.53,32066.73,17.06,12.475
3163409,2020,5387,4.62,32066.73,17.06,12.475
3155207,2020,5402,2.66,32066.73,17.06,12.475
3132008,2020,5417,5.12,32066.73,17.06,12.475
3115359,2020,5421,1.25,32066.73,17.06,12.475
3121001,2020,5421,2.42,32066.73,17.06,12.475
3135076,2020,5429,3.8,32066.73,17.06,12.475
3138708,2020,5438,1.45,32066.73,17.06,12.475
3108206,2020,5444,1.23,32066.73,17.06,12.475
3112109,2020,5451,4.61,32066.73,17.06,12.475
