Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1707405,89.1,6.5,4.4,198, 10 ,1,9
2008,1708205,53,1.2,45.8,84, 11 ,2,6
2008,1710508,100,0,0,31, 1 ,1,1
2008,1711902,69,1.4,29.6,72, 11 ,2,6
2008,1713601,85.7,1,13.3,101, 7 ,1,5
2008,1714302,75,6.3,18.7,134, 12 ,2,6
2008,1716208,89.6,1.3,9.1,79, 6 ,2,5
2008,1716505,92.7,2.4,4.9,49, 6 ,2,5
2008,1716604,72.4,12.9,14.7,125, 5 ,1,5
2008,1717800,100,0,0,24, 2 ,1,1
2008,1718204,89.2,2.8,8,298, 36 ,3,15
2008,1718758,92,0,8,25, 4 ,1,3
2008,1718840,90,0,10,24, 8 ,1,3
2008,1718865,88.9,11.1,0,18, 5 ,1,3
2008,1720101,82.9,7.3,9.8,44, 5 ,1,3
2008,1720200,73,9.7,17.3,275, 16 ,1,9
2008,1720804,89.9,7.6,2.5,126, 7 ,2,6
2008,1720903,81.8,3.6,14.6,54, 8 ,1,3
2008,1721000,83.7,1.1,15.2,92, 12 ,1,5
2008,1721109,72.4,8.6,19,58, 12 ,1,3
2008,1721208,74.7,0,25.3,79, 19 ,2,6
2008,2100055,71.9,6.5,21.6,1201, 70 ,8,36
2008,2100154,90.2,4.1,5.7,247, 17 ,2,9
2008,2100204,74.1,0,25.9,108, 16 ,2,3
2008,2100303,68.4,0,31.6,19, 3 ,1,1
2008,2100402,76.6,0,23.4,96, 8 ,1,4
2008,2100477,83.4,4.5,12.1,1006, 45 ,6,28
2008,2100600,76.9,2.7,20.4,190, 35 ,5,10
2008,2100709,79.8,4.7,15.5,677, 51 ,7,27
2008,2100808,88.4,0,11.6,328, 22 ,2,11
2008,2100907,75.7,1.9,22.4,1177, 79 ,5,37
2008,2100956,44,0,56,25, 11 ,2,3
2008,2101202,84.5,2.6,12.9,432, 31 ,5,17
2008,2101251,65.3,11.7,23,307, 21 ,1,9
2008,2101301,86.7,2.8,10.5,353, 13 ,3,12
2008,2101509,91.7,0,8.3,147, 11 ,1,6
2008,2101608,88.7,4.5,6.8,1184, 62 ,12,41
2008,2101731,85.7,1,13.3,104, 8 ,2,4
2008,2101939,81.6,6.1,12.3,119, 7 ,1,4
2008,2102002,45.8,0,54.2,24, 4 ,1,1
2008,2102036,52.2,9.8,38,95, 6 ,1,3
2008,2102150,83.5,0,16.5,133, 10 ,1,6
2008,2102200,81.3,2,16.7,201, 22 ,3,11
2008,2102325,74.6,9.9,15.5,694, 21 ,3,15
2008,2102358,75.8,7.7,16.5,316, 14 ,2,10
2008,2102408,71.6,1.7,26.7,233, 12 ,1,7
2008,2102507,62.8,19.2,18,85, 6 ,1,4
2008,2102606,86.4,1.9,11.7,121, 8 ,2,4
2008,2102754,82.5,1.8,15.7,116, 8 ,1,4
2008,2102804,82.2,5.5,12.3,90, 5 ,1,3
2008,2102903,76.6,9.9,13.5,171, 10 ,1,6
2008,2103000,93.3,4.4,2.3,564, 65 ,6,24
2008,2103174,80.3,2.7,17,408, 33 ,4,17
2008,2103208,55.3,0,44.7,171, 19 ,2,8
2008,2103257,74.1,8.9,17,138, 5 ,1,3
2008,2103307,85.2,8.4,6.4,431, 37 ,2,13
2008,2103505,70.7,6.7,22.6,236, 17 ,3,9
2008,2103554,89.8,2.3,7.9,91, 6 ,1,3
2008,2103604,75.2,4,20.8,250, 23 ,4,13
2008,2103703,86.4,0,13.6,81, 5 ,1,5
2008,2103802,91.7,0,8.3,60, 8 ,1,3
2008,2104008,81.1,5,13.9,410, 46 ,7,24
2008,2104057,39.8,4.8,55.4,84, 7 ,1,4
2008,2104073,89.3,0,10.7,103, 5 ,1,3
2008,2104081,68.2,7.3,24.5,111, 6 ,1,3
2008,2104099,93.4,0.7,5.9,138, 11 ,2,6
2008,2104206,78.6,6,15.4,172, 10 ,1,5
2008,2104404,97.3,1.4,1.3,89, 4 ,1,3
2008,2104552,47.1,19.9,33,314, 14 ,1,8
2008,2104602,79.4,1,19.6,199, 8 ,2,6
2008,2104800,92,1.3,6.7,1165, 69 ,13,42
2008,2104909,72.6,8,19.4,203, 6 ,1,7
2008,2105005,80.8,0,19.2,225, 10 ,1,6
2008,2105104,81.9,6.7,11.4,363, 12 ,1,7
2008,2105153,100,0,0,88, 18 ,1,2
2008,2105203,85,4,11,124, 10 ,2,6
2008,2105302,67,2.4,30.6,349, 30 ,4,12
2008,2105351,87.1,10,2.9,211, 21 ,4,12
2008,2105401,83.4,13.2,3.4,1070, 63 ,7,36
2008,2105450,78.6,7.3,14.1,243, 17 ,3,9
2008,2105476,65.1,8.4,26.5,521, 31 ,6,20
2008,2105708,78.1,2.5,19.4,367, 17 ,2,9
2008,2105807,79,4.1,16.9,280, 21 ,2,9
2008,2105948,72.4,10.3,17.3,88, 5 ,1,3
2008,2106102,98.4,0,1.6,62, 5 ,1,3
2008,2106300,81,1.8,17.2,276, 24 ,4,12
2008,2106326,95.9,0,4.1,58, 8 ,1,3
2008,2106409,78.1,0.8,21.1,248, 24 ,2,12
2008,2106508,78.1,0.3,21.6,385, 27 ,4,16
2008,2106607,76.2,5.4,18.4,336, 16 ,1,9
2008,2106631,93.4,3.9,2.7,76, 8 ,2,3
2008,2106706,87.8,6.1,6.1,187, 23 ,2,9
2008,2106755,79.5,0,20.5,169, 10 ,1,4
2008,2106805,79.6,5.5,14.9,239, 8 ,1,7
2008,2106904,79.7,2.9,17.4,72, 6 ,1,3
2008,2107001,60,20,20,21, 7 ,1,3
2008,2107209,96.8,0,3.2,93, 7 ,1,3
2008,2107308,92.5,7.5,0,40, 9 ,1,3
2008,2107407,85.7,1.3,13,155, 12 ,2,7
2008,2107456,88,4.2,7.8,194, 12 ,2,6
2008,2107506,73.9,9.3,16.8,805, 42 ,3,19
2008,2107605,80.3,6.1,13.6,68, 5 ,1,2
2008,2107803,79.2,11,9.8,414, 25 ,1,13
2008,2108009,79.9,0.6,19.5,161, 11 ,2,6
2008,2108058,89.5,0.3,10.2,400, 39 ,6,20
2008,2108207,72.1,2.1,25.8,140, 11 ,2,6
