Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
31,Minas Gerais,MG,3146404,Paineiras,Sudeste,-18.904167,-45.534722
31,Minas Gerais,MG,3146503,Pains,Sudeste,-20.367265,-45.663335
31,Minas Gerais,MG,3146552,Pai Pedro,Sudeste,-15.531125,-43.06671
31,Minas Gerais,MG,3146602,Paiva,Sudeste,-21.289441,-43.417535
31,Minas Gerais,MG,3146701,Palma,Sudeste,-21.375317,-42.317541
31,Minas Gerais,MG,3146750,Palmópolis,Sudeste,-16.735460500000002,-40.420311
31,Minas Gerais,MG,3146909,Papagaios,Sudeste,-19.448777,-44.747869
31,Minas Gerais,MG,3147006,Paracatu,Sudeste,-17.217406,-46.870751
31,Minas Gerais,MG,3147105,Pará de Minas,Sudeste,-19.859964,-44.607531
31,Minas Gerais,MG,3147204,Paraguaçu,Sudeste,-21.547222,-45.7375
31,Minas Gerais,MG,3147303,Paraisópolis,Sudeste,-22.554168,-45.780002
31,Minas Gerais,MG,3147402,Paraopeba,Sudeste,-19.275682,-44.403412
31,Minas Gerais,MG,3147501,Passabém,Sudeste,-19.352171,-43.137462
31,Minas Gerais,MG,3147600,Passa Quatro,Sudeste,-22.38938,-44.966604
31,Minas Gerais,MG,3147709,Passa Tempo,Sudeste,-20.650556,-44.495833
31,Minas Gerais,MG,3147808,Passa Vinte,Sudeste,-22.209722,-44.234444
31,Minas Gerais,MG,3147907,Passos,Sudeste,-20.71678,-46.615686
31,Minas Gerais,MG,3147956,Patis,Sudeste,-16.080627,-44.080573
31,Minas Gerais,MG,3148004,Patos de Minas,Sudeste,-18.604145,-46.50967
31,Minas Gerais,MG,3148103,Patrocínio,Sudeste,-18.940829,-46.992662
31,Minas Gerais,MG,3148202,Patrocínio do Muriaé,Sudeste,-21.153343,-42.205768
31,Minas Gerais,MG,3148301,Paula Cândido,Sudeste,-20.873773,-42.986273
31,Minas Gerais,MG,3148400,Paulistas,Sudeste,-18.426823,-42.868954
31,Minas Gerais,MG,3148509,Pavão,Sudeste,-17.430699,-40.999136
31,Minas Gerais,MG,3148608,Peçanha,Sudeste,-18.548660124999998,-42.556608624999996
31,Minas Gerais,MG,3148707,Pedra Azul,Sudeste,-16.005556,-41.28
31,Minas Gerais,MG,3148756,Pedra Bonita,Sudeste,-20.5203,-42.33
31,Minas Gerais,MG,3148806,Pedra do Anta,Sudeste,-20.596282,-42.717979
31,Minas Gerais,MG,3148905,Pedra do Indaiá,Sudeste,-20.258333,-45.208611
31,Minas Gerais,MG,3149002,Pedra Dourada,Sudeste,-20.83178,-42.155464
31,Minas Gerais,MG,3149101,Pedralva,Sudeste,-22.242812,-45.465992
31,Minas Gerais,MG,3149150,Pedras de Maria da Cruz,Sudeste,-15.605833,-44.391944
31,Minas Gerais,MG,3149200,Pedrinópolis,Sudeste,-19.2275,-47.461944
31,Minas Gerais,MG,3149309,Pedro Leopoldo,Sudeste,-19.617778,-44.043055
31,Minas Gerais,MG,3149408,Pedro Teixeira,Sudeste,-21.705664,-43.749236
31,Minas Gerais,MG,3149507,Pequeri,Sudeste,-21.836997,-43.12078
31,Minas Gerais,MG,3149606,Pequi,Sudeste,-19.631516,-44.659726
31,Minas Gerais,MG,3149705,Perdigão,Sudeste,-19.953056,-45.084166
31,Minas Gerais,MG,3149804,Perdizes,Sudeste,-19.350336,-47.293824
31,Minas Gerais,MG,3149903,Perdões,Sudeste,-21.091974,-45.090354
31,Minas Gerais,MG,3149952,Periquito,Sudeste,-19.155932,-42.241226
31,Minas Gerais,MG,3150000,Pescador,Sudeste,-18.356361,-41.598145
31,Minas Gerais,MG,3150109,Piau,Sudeste,-21.507474,-43.320587
31,Minas Gerais,MG,3150158,Piedade de Caratinga,Sudeste,-19.760121,-42.076732
31,Minas Gerais,MG,3150208,Piedade de Ponte Nova,Sudeste,-20.245295,-42.7344
31,Minas Gerais,MG,3150307,Piedade do Rio Grande,Sudeste,-21.467937,-44.193939
31,Minas Gerais,MG,3150406,Piedade dos Gerais,Sudeste,-20.471111,-44.226945
