Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
41,Paraná,PR,4119301,Pinhão,Sul,-25.696089,-51.656637
41,Paraná,PR,4119400,Piraí do Sul,Sul,-24.53466,-49.939922
41,Paraná,PR,4119509,Piraquara,Sul,-25.442327,-49.060447
41,Paraná,PR,4119608,Pitanga,Sul,-24.759586,-51.763758
41,Paraná,PR,4119657,Pitangueiras,Sul,-23.233359,-51.585563
41,Paraná,PR,4119707,Planaltina do Paraná,Sul,-23.022872,-52.916031
41,Paraná,PR,4119806,Planalto,Sul,-25.718449,-53.767216
41,Paraná,PR,4119905,Ponta Grossa,Sul,-25.089168,-50.160181
41,Paraná,PR,4119954,Pontal do Paraná,Sul,-25.574765,-48.361481
41,Paraná,PR,4120002,Porecatu,Sul,-22.753724,-51.37949
41,Paraná,PR,4120101,Porto Amazonas,Sul,-25.549423,-49.897381
41,Paraná,PR,4120150,Porto Barreiro,Sul,-25.54667,-52.409026
41,Paraná,PR,4120200,Porto Rico,Sul,-22.774742,-53.267731
41,Paraná,PR,4120309,Porto Vitória,Sul,-26.160567,-51.22394
41,Paraná,PR,4120333,Prado Ferreira,Sul,-23.039784,-51.443124
41,Paraná,PR,4120358,Pranchita,Sul,-26.02094,-53.739683
41,Paraná,PR,4120408,Presidente Castelo Branco,Sul,-23.279084,-52.152877
41,Paraná,PR,4120507,Primeiro de Maio,Sul,-22.851714,-51.029251
41,Paraná,PR,4120606,Prudentópolis,Sul,-25.203358,-50.989577
41,Paraná,PR,4120655,Quarto Centenário,Sul,-24.27904,-53.075881
41,Paraná,PR,4120705,Quatiguá,Sul,-23.566963,-49.916032
41,Paraná,PR,4120804,Quatro Barras,Sul,-25.370899,-49.074567
41,Paraná,PR,4120853,Quatro Pontes,Sul,-24.574106,-53.978024
41,Paraná,PR,4120903,Quedas do Iguaçu,Sul,-25.453001,-52.909043
41,Paraná,PR,4121000,Querência do Norte,Sul,-23.083758,-53.483022
41,Paraná,PR,4121109,Quinta do Sol,Sul,-23.849417,-52.133445
41,Paraná,PR,4121208,Quitandinha,Sul,-25.873727,-49.497772
41,Paraná,PR,4121257,Ramilândia,Sul,-25.11902,-54.030118
41,Paraná,PR,4121307,Rancho Alegre,Sul,-23.070922,-50.914268
41,Paraná,PR,4121356,Rancho Alegre D'Oeste,Sul,-24.306521,-52.955179
41,Paraná,PR,4121406,Realeza,Sul,-25.772026,-53.533831
41,Paraná,PR,4121505,Rebouças,Sul,-25.4445,-49.2647
41,Paraná,PR,4121604,Renascença,Sul,-26.158837,-52.970349
41,Paraná,PR,4121703,Reserva,Sul,-24.654534,-50.848443
41,Paraná,PR,4121752,Reserva do Iguaçu,Sul,-25.83651,-52.028256
41,Paraná,PR,4121802,Ribeirão Claro,Sul,-23.196049,-49.756833
41,Paraná,PR,4121901,Ribeirão do Pinhal,Sul,-23.406309,-50.358195
41,Paraná,PR,4122008,Rio Azul,Sul,-25.726644,-50.790534
41,Paraná,PR,4122107,Rio Bom,Sul,-23.766054,-51.409435
41,Paraná,PR,4122156,Rio Bonito do Iguaçu,Sul,-25.490391,-52.526207
41,Paraná,PR,4122172,Rio Branco do Ivaí,Sul,-24.31934,-51.313967
41,Paraná,PR,4122206,Rio Branco do Sul,Sul,-25.188537,-49.311908
41,Paraná,PR,4122305,Rio Negro,Sul,-26.104767,-49.798277
41,Paraná,PR,4122404,Rolândia,Sul,-23.31199,-51.367415
41,Paraná,PR,4122503,Roncador,Sul,-24.593206,-52.273151
41,Paraná,PR,4122602,Rondon,Sul,-23.417184,-52.772222
41,Paraná,PR,4122651,Rosário do Ivaí,Sul,-24.254537,-51.250503
41,Paraná,PR,4122701,Sabáudia,Sul,-23.319019,-51.554411
41,Paraná,PR,4122800,Salgado Filho,Sul,-26.173092,-53.36299
41,Paraná,PR,4122909,Salto do Itararé,Sul,-23.603877,-49.626581
41,Paraná,PR,4123006,Salto do Lontra,Sul,-25.781564,-53.30852
41,Paraná,PR,4123105,Santa Amélia,Sul,-23.2662,-50.427862
41,Paraná,PR,4123204,Santa Cecília do Pavão,Sul,-23.5175325,-50.784484500000005
41,Paraná,PR,4123303,Santa Cruz de Monte Castelo,Sul,-22.958203,-53.294859
41,Paraná,PR,4123402,Santa Fé,Sul,-23.039993,-51.808014
41,Paraná,PR,4123501,Santa Helena,Sul,-24.859173,-54.332881
41,Paraná,PR,4123600,Santa Inês,Sul,-22.640225,-51.903133
41,Paraná,PR,4123709,Santa Isabel do Ivaí,Sul,-23.001382,-53.194088
41,Paraná,PR,4123808,Santa Izabel do Oeste,Sul,-25.821652,-53.480146
41,Paraná,PR,4123824,Santa Lúcia,Sul,-25.407943,-53.567725
41,Paraná,PR,4123857,Santa Maria do Oeste,Sul,-24.939235,-51.871224
41,Paraná,PR,4123907,Santa Mariana,Sul,-23.149937,-50.519959
41,Paraná,PR,4123956,Santa Mônica,Sul,-23.108592,-53.110397
41,Paraná,PR,4124004,Santana do Itararé,Sul,-23.756622,-49.629283
41,Paraná,PR,4124020,Santa Tereza do Oeste,Sul,-25.051196,-53.616183
41,Paraná,PR,4124053,Santa Terezinha de Itaipu,Sul,-25.439081,-54.40199
41,Paraná,PR,4124103,Santo Antônio da Platina,Sul,-23.295716,-50.077896
41,Paraná,PR,4124202,Santo Antônio do Caiuá,Sul,-22.7356925,-52.3432155
41,Paraná,PR,4124301,Santo Antônio do Paraíso,Sul,-23.494925,-50.646866
41,Paraná,PR,4124400,Santo Antônio do Sudoeste,Sul,-26.072712,-53.725556
41,Paraná,PR,4124509,Santo Inácio,Sul,-25.4252,-49.3286
41,Paraná,PR,4124608,São Carlos do Ivaí,Sul,-23.315828,-52.476143
41,Paraná,PR,4124707,São Jerônimo da Serra,Sul,-23.722127,-50.738916
41,Paraná,PR,4124806,São João,Sul,-25.3915,-49.3115
41,Paraná,PR,4124905,São João do Caiuá,Sul,-22.854485,-52.337111
41,Paraná,PR,4125001,São João do Ivaí,Sul,-23.991406,-51.823215
41,Paraná,PR,4125100,São João do Triunfo,Sul,-25.682971,-50.29492
41,Paraná,PR,4125209,São Jorge d'Oeste,Sul,-25.708697,-52.918988
41,Paraná,PR,4125308,São Jorge do Ivaí,Sul,-23.432732,-52.292455
41,Paraná,PR,4125357,São Jorge do Patrocínio,Sul,-23.761291,-53.880625
41,Paraná,PR,4125407,São José da Boa Vista,Sul,-23.917187,-49.650802
41,Paraná,PR,4125456,São José das Palmeiras,Sul,-24.835086,-54.062149
41,Paraná,PR,4125506,São José dos Pinhais,Sul,-25.533816,-49.207216
41,Paraná,PR,4125555,São Manoel do Paraná,Sul,-23.394137,-52.645376
41,Paraná,PR,4125605,São Mateus do Sul,Sul,-25.866823,-50.382796
41,Paraná,PR,4125704,São Miguel do Iguaçu,Sul,-25.349171,-54.240498
41,Paraná,PR,4125753,São Pedro do Iguaçu,Sul,-24.931166,-53.857004
41,Paraná,PR,4125803,São Pedro do Ivaí,Sul,-23.866038,-51.856371
41,Paraná,PR,4125902,São Pedro do Paraná,Sul,-22.824097,-53.222755
41,Paraná,PR,4126009,São Sebastião da Amoreira,Sul,-23.46475,-50.760517
41,Paraná,PR,4126108,São Tomé,Sul,-23.534946,-52.590125
41,Paraná,PR,4126207,Sapopema,Sul,-23.91051,-50.579132
