Código_IBGE,Ano,Populacao
4215695,2008,1467
3547205,2020,1467
3127909,2009,1468
1720150,2009,1468
4209458,2015,1470
1706258,2022,1470
5213400,2021,1471
2512606,2008,1472
4322186,2019,1472
3146602,2022,1474
4306924,2010,1474
4211876,2020,1474
1721257,2009,1474
3164803,2021,1478
4309258,2021,1478
4209458,2012,1478
4209458,2014,1479
4306924,2011,1481
4209458,2010,1484
4209458,2011,1484
4209458,2009,1485
4322186,2018,1486
3515806,2022,1487
3547205,2019,1487
2512606,2009,1488
4209458,2013,1488
5212253,2017,1490
4305835,2021,1490
4309258,2020,1490
3164803,2020,1492
5107883,2014,1492
4112603,2009,1494
4209458,2008,1494
4305835,2020,1495
4112603,2008,1498
4312351,2022,1499
3515806,2018,1499
1718659,2008,1499
4116505,2013,1500
5213400,2020,1501
4305835,2019,1501
4314787,2021,1501
1704600,2022,1501
3165800,2019,1502
4309258,2019,1503
3123403,2013,1504
4317251,2022,1505
4323606,2009,1505
4211876,2019,1505
3164803,2019,1506
4305835,2018,1507
3547205,2018,1507
3554755,2008,1507
3555703,2008,1508
4116505,2014,1509
3547650,2013,1511
3123403,2010,1512
3123403,2014,1512
3515657,2008,1514
4309258,2018,1516
4311643,2009,1516
3146602,2021,1517
4323606,2008,1517
3547650,2014,1517
4116505,2015,1518
4305835,2012,1518
1720150,2013,1518
3123403,2015,1519
3554755,2009,1519
3164803,2018,1520
5107883,2015,1520
4208955,2021,1520
3123403,2018,1521
4312351,2012,1521
3515657,2009,1521
4311643,2008,1522
3555703,2009,1522
3146602,2020,1523
4305835,2011,1523
3547650,2015,1523
4314787,2020,1524
5106703,2021,1525
5204953,2021,1526
3123403,2016,1526
4213906,2021,1526
3123403,2019,1527
4116505,2016,1527
5213400,2019,1529
3146602,2019,1529
4306924,2008,1530
3547650,2016,1530
1718659,2009,1530
4312351,2011,1532
1720150,2014,1532
3123403,2017,1533
3123403,2020,1533
4116505,2018,1534
3146602,2018,1535
4116505,2017,1536
4323606,2010,1536
3547650,2017,1536
4211876,2018,1537
3103108,2022,1538
3554755,2010,1538
3123403,2021,1539
3547650,2018,1539
1721257,2010,1540
4116505,2019,1543
3165800,2018,1545
4312351,2017,1545
3547650,2019,1545
1720150,2015,1545
4208955,2020,1546
5220058,2017,1547
4304853,2017,1547
4314787,2019,1547
4213906,2020,1547
5107883,2016,1548
3515657,2010,1548
3146602,2012,1549
5106703,2020,1550
4322186,2012,1550
4116505,2020,1551
4312351,2016,1551
4315313,2022,1552
4322350,2010,1552
3547650,2020,1552
4323606,2021,1553
3146602,2011,1554
5212253,2018,1555
3547205,2017,1555
4312351,2015,1556
5213400,2018,1557
4323606,2020,1557
3554755,2011,1557
3123403,2008,1558
3547650,2021,1558
4305835,2017,1559
1720150,2016,1559
5106703,2017,1560
4116505,2021,1560
4304853,2016,1560
4305835,2016,1560
4315073,2022,1560
4304853,2012,1561
4323606,2019,1561
4305835,2015,1562
4312351,2014,1562
4322186,2011,1562
4323606,2012,1562
3118502,2022,1563
4305835,2014,1564
4323606,2018,1565
2512788,2008,1566
4305835,2010,1566
4323606,2011,1566
4305835,2013,1567
4123600,2021,1568
4312351,2013,1568
4213906,2019,1568
4312351,2010,1569
3554755,2012,1569
4208955,2019,1570
3555703,2010,1570
5220058,2016,1571
3515806,2017,1571
1720150,2017,1571
4311643,2010,1572
4314787,2018,1572
1720150,2018,1572
4322186,2017,1573
3547205,2016,1573
4304853,2015,1574
4308854,2009,1574
3515657,2011,1574
5107883,2017,1575
4314787,2022,1575
4205357,2021,1575
5106703,2019,1576
4309258,2012,1576
3103108,2021,1577
3146602,2017,1577
4211876,2017,1577
1720853,2022,1577
3123403,2009,1578
4322186,2016,1578
1706258,2011,1578
4205357,2020,1579
3146602,2016,1580
3164803,2017,1582
4205357,2019,1582
3146602,2015,1583
3515657,2012,1583
4304853,2011,1584
4322186,2015,1584
4205357,2012,1585
1720150,2019,1585
4315131,2021,1586
4205357,2018,1586
3103108,2020,1587
3146602,2014,1587
4309258,2011,1587
4205357,2011,1587
5212253,2019,1588
3164803,2012,1588
5106703,2016,1588
2512788,2009,1588
4304853,2014,1588
3146602,2013,1590
4300554,2021,1590
4323606,2022,1590
4213906,2018,1590
1709807,2022,1590
3164803,2016,1591
4322186,2014,1591
3547205,2015,1591
1706258,2012,1592
4308854,2008,1593
4123600,2020,1594
4311270,2012,1594
4205357,2017,1594
4208955,2018,1595
4123600,2019,1596
4311270,2011,1596
5220058,2015,1597
4205357,2016,1597
3103108,2019,1598
4322186,2013,1598
1720150,2020,1598
3147501,2022,1600
4309258,2017,1600
4205357,2015,1600
3164803,2011,1601
3164803,2015,1601
5106703,2018,1602
4305934,2021,1602
3515806,2016,1602
4205357,2014,1603
3547205,2012,1603
3555703,2022,1603
4304853,2013,1604
4311270,2021,1604
4205357,2013,1605
1721257,2011,1605
4309258,2016,1606
4312351,2009,1606
4217956,2021,1606
4305934,2022,1607
4311270,2020,1607
4211876,2016,1607
3103108,2018,1609
2512606,2010,1609
4311270,2019,1609
4305835,2008,1610
4305835,2009,1610
4213906,2017,1610
3547205,2014,1610
1720150,2021,1610
3164803,2014,1611
4311270,2018,1611
4312179,2021,1611
4323606,2017,1611
4309258,2015,1612
4315131,2020,1612
4323606,2016,1612
4300554,2020,1613
4323606,2014,1613
4323606,2015,1613
4305934,2020,1614
4311270,2010,1614
4323606,2013,1614
4312351,2008,1615
3547205,2009,1616
5106703,2015,1618
4309258,2014,1618
3555703,2011,1618
3147501,2021,1619
4308854,2021,1619
4217956,2020,1619
3547205,2010,1619
3146602,2010,1620
3513850,2022,1620
5212253,2020,1621
4301925,2021,1621
3164803,2013,1622
5107883,2018,1622
4308854,2010,1622
3547205,2011,1622
5220058,2014,1623
3513850,2009,1623
4123600,2018,1624
3513850,2008,1624
4309258,2013,1625
4202099,2021,1625
4208955,2017,1625
2414902,2011,1626
4308854,2020,1626
1712157,2022,1626
4304622,2021,1628
4305934,2019,1628
4311643,2011,1629
4312179,2020,1629
3547205,2013,1629
4316733,2021,1630
4213906,2016,1630
3147501,2020,1633
4107520,2021,1633
2414902,2012,1633
4311270,2009,1633
4217956,2019,1633
4308854,2019,1634
4311270,2008,1634
4311643,2012,1634
4316733,2020,1634
3515806,2015,1634
1721257,2012,1634
4306130,2022,1635
3554755,2013,1635
3555703,2012,1636
1712157,2011,1636
4211876,2015,1637
4300554,2019,1638
5220058,2012,1639
4315131,2019,1639
4316733,2019,1639
1712157,2008,1640
4304622,2020,1641
4305934,2018,1641
4308854,2018,1642
1718659,2010,1642
3547205,2008,1643
4309258,2010,1644
4316733,2018,1644
4205357,2010,1644
4305934,2009,1645
3547650,2022,1645
4313466,2022,1646
4316733,2012,1646
4217956,2018,1646
3515657,2013,1646
5106703,2014,1648
4311270,2013,1648
4312179,2019,1648
5220058,2013,1649
3147501,2019,1649
4311270,2014,1649
4311270,2015,1649
4311270,2016,1649
4322350,2009,1649
4208955,2016,1649
5107883,2019,1650
4311270,2017,1650
4213906,2015,1650
3554755,2014,1650
4304853,2010,1651
4316733,2011,1651
4202099,2020,1651
4215695,2022,1651
1706258,2013,1651
5212253,2021,1652
3103108,2012,1653
4304622,2019,1654
4301925,2020,1655
4304614,2022,1656
3515657,2022,1656
3515657,2014,1658
3513850,2010,1659
1712157,2010,1660
3103108,2011,1662
3556958,2009,1662
4300554,2018,1663
4308854,2012,1663
5220058,2011,1664
3103108,2017,1664
3147501,2018,1664
3554755,2015,1664
3556958,2008,1664
4107520,2020,1665
4312179,2018,1665
1712157,2012,1665
5213400,2017,1666
3515806,2014,1666
1706258,2014,1666
4312674,2021,1667
3555307,2021,1667
5220058,2010,1668
4304622,2018,1668
4305934,2008,1668
4308250,2022,1668
4315131,2018,1668
4202099,2022,1668
4211876,2014,1668
3164803,2010,1669
3515657,2015,1669
3555307,2022,1669
3103108,2016,1670
2512788,2010,1670
4308854,2011,1670
4213906,2014,1670
3547205,2022,1670
5220058,2009,1672
3165800,2017,1672
4322186,2010,1672
4208955,2015,1672
4312674,2020,1674
4316733,2022,1674
4322350,2008,1674
4315073,2017,1676
1709807,2011,1676
3103108,2015,1677
4202099,2019,1677
3554755,2016,1677
5107883,2020,1678
5106703,2013,1679
4305934,2010,1679
3149408,2009,1680
3515657,2016,1680
1706258,2015,1680
5209457,2021,1681
4100459,2020,1682
4312674,2019,1682
3554755,2022,1682
3146602,2008,1683
4311643,2022,1683
1712157,2009,1683
5213400,2016,1684
5213400,2022,1685
3103108,2014,1685
3146602,2009,1687
3515806,2012,1688
4312674,2018,1689
4213906,2022,1689
3168200,2022,1690
4301925,2019,1690
4213906,2013,1691
3515657,2017,1691
3554755,2017,1691
3103108,2013,1692
3149408,2008,1692
2514651,2008,1692
4311643,2013,1692
4304614,2021,1693
3145406,2021,1694
4205357,2008,1694
1706258,2016,1694
4316733,2017,1695
4217956,2017,1695
3513850,2011,1695
2514651,2011,1696
2414902,2013,1696
4301925,2022,1696
4316733,2016,1696
3555307,2020,1696
4311643,2014,1697
4208955,2014,1697
4213906,2012,1697
4107520,2019,1698
4316733,2015,1698
4211876,2013,1698
2514651,2022,1699
4316733,2014,1699
3513850,2012,1699
3515806,2013,1699
4316733,2013,1700
4205357,2009,1700
2514651,2010,1702
4305934,2012,1702
4309258,2009,1702
4209458,2022,1702
3556958,2010,1702
3165800,2016,1703
4311643,2015,1703
4210555,2021,1703
5213400,2015,1704
4315073,2016,1704
4202099,2018,1704
3515657,2018,1704
5107883,2021,1705
2414902,2014,1705
4304614,2020,1705
4308854,2017,1705
4313466,2021,1705
5220058,2008,1706
4314787,2017,1706
2514651,2009,1707
2514651,2012,1707
4311643,2016,1707
4217956,2016,1707
4308854,2016,1708
4309258,2008,1708
4311643,2018,1708
4312674,2012,1708
1706258,2017,1708
1706258,2018,1708
4308250,2021,1709
4314787,2012,1709
3554755,2018,1709
4308854,2015,1711
4213906,2011,1711
1709807,2012,1711
2414902,2018,1712
4311643,2017,1712
4313466,2020,1712
3555703,2013,1712
4305934,2011,1713
2414902,2015,1714
4308854,2014,1714
4311643,2019,1714
4316733,2010,1714
4312674,2011,1715
4304614,2019,1716
3515657,2019,1716
4308854,2013,1717
4314787,2016,1717
2414902,2019,1718
4304853,2009,1718
1720853,2008,1718
1721257,2013,1718
4311643,2020,1719
4313466,2019,1719
3145406,2020,1720
5106703,2012,1720
2510659,2022,1720
4310462,2022,1720
4211876,2012,1720
4217956,2015,1720
3515806,2011,1720
4312625,2022,1721
4208955,2013,1721
2414902,2016,1722
4317251,2021,1722
1706258,2019,1722
5213400,2012,1724
5213400,2014,1724
4311643,2021,1724
3554755,2019,1724
2414902,2020,1725
4317251,2012,1725
4301925,2018,1726
4317251,2020,1726
4123600,2017,1727
4313466,2018,1727
3515657,2020,1727
3555307,2019,1727
4305934,2017,1728
4304614,2018,1729
4314787,2011,1729
4317251,2011,1729
4317251,2019,1729
3118502,2011,1730
2512606,2011,1730
4304622,2012,1730
4314787,2015,1730
2414902,2017,1731
2414902,2021,1731
4312955,2021,1731
3118502,2012,1732
3147501,2017,1732
3149408,2010,1732
4107520,2018,1732
4208955,2012,1732
4304622,2022,1733
4315073,2015,1733
4217956,2014,1733
3546256,2009,1733
3555703,2014,1733
4305934,2016,1734
4317251,2018,1734
3165800,2015,1735
1706258,2020,1735
5209457,2020,1737
3164803,2009,1737
4308250,2020,1737
4304853,2008,1738
4311270,2022,1738
3554755,2020,1738
3147501,2012,1739
4315131,2022,1739
4202099,2017,1739
4217956,2012,1739
3515657,2021,1739
3118502,2010,1740
4305934,2015,1740
2414902,2010,1741
4211876,2011,1741
3546256,2008,1741
1720853,2009,1741
3147501,2016,1742
4304622,2011,1742
4308854,2022,1742
3556958,2011,1742
3164803,2008,1743
2512606,2022,1743
2413607,2021,1743
4314787,2014,1743
5213400,2011,1744
5213400,2013,1744
5106703,2011,1744
4313466,2012,1744
1709807,2010,1744
4213906,2010,1745
4123600,2016,1746
4217956,2013,1746
3118502,2008,1747
3145406,2019,1747
2510659,2021,1747
4305934,2014,1747
3556958,2012,1747
4123600,2022,1748
4217956,2011,1748
4208955,2011,1749
1706258,2021,1749
1712157,2013,1749
3118502,2009,1750
4210555,2020,1750
4313466,2011,1751
1721257,2014,1751
2504850,2008,1752
2512788,2011,1752
4312674,2017,1752
3554755,2021,1752
1720853,2010,1752
3147501,2011,1753
3147501,2015,1753
2514651,2013,1753
4312955,2020,1753
4305934,2013,1754
4312674,2016,1754
3555703,2015,1754
1709807,2008,1754
1302108,2021,1755
3503356,2021,1755
1718659,2011,1755
3160504,2021,1756
4312674,2015,1757
4314787,2013,1757
4319364,2022,1757
4210050,2021,1757
2510659,2020,1758
4304622,2017,1758
4217956,2010,1758
2512606,2012,1759
4312674,2010,1759
3555307,2018,1759
3160504,2020,1760
4312674,2014,1760
4315073,2012,1760
3513850,2013,1760
4312674,2013,1763
1720853,2011,1763
3147501,2014,1764
4304622,2016,1764
4315073,2014,1764
4202099,2016,1764
3160504,2019,1765
4123600,2015,1765
4306130,2021,1765
4308250,2019,1766
4312179,2012,1766
4210050,2020,1766
3513850,2014,1766
2514651,2014,1767
3529658,2009,1767
4217956,2009,1768
1718659,2022,1768
3165800,2014,1769
2510659,2017,1769
3153806,2022,1770
3160504,2018,1770
2504850,2009,1770
4304622,2015,1770
3160504,2012,1771
2510659,2019,1771
4316733,2008,1771
3513850,2015,1772
3503356,2020,1773
3555703,2016,1773
5220058,2022,1774
3160504,2011,1774
5106703,2010,1774
3145406,2018,1775
4312955,2019,1775
4210050,2019,1775
3147501,2013,1776
4123600,2012,1776
4304622,2014,1776
4316733,2009,1776
4322855,2021,1776
4208955,2022,1776
4315313,2011,1777
4322186,2008,1777
2504850,2010,1778
4210050,2022,1778
4315313,2012,1779
4213906,2009,1779
3513850,2016,1779
3536570,2011,1779
3536570,2012,1779
2514651,2015,1780
4312179,2017,1780
4317251,2016,1780
4317251,2017,1780
4217956,2008,1780
2512788,2012,1781
4317251,2014,1781
4317251,2015,1781
4322186,2009,1781
4217154,2022,1781
3118502,2018,1782
2510659,2016,1782
4312179,2011,1782
4317251,2013,1782
1712157,2014,1782
1721257,2015,1782
3118502,2019,1783
4304622,2013,1783
4205357,2022,1783
1720150,2022,1783
1720853,2012,1783
3118502,2020,1784
3160504,2010,1784
4123600,2014,1784
4315313,2010,1784
4210050,2018,1784
3529658,2008,1784
3118502,2013,1785
3149408,2011,1785
3149408,2012,1785
4304614,2012,1785
3513850,2017,1785
3118502,2021,1786
2510659,2018,1786
4116000,2021,1786
4211876,2010,1786
3513850,2018,1786
2504850,2011,1787
4210050,2009,1787
4314787,2010,1788
1712702,2008,1788
3147501,2010,1789
4312179,2016,1789
4315313,2008,1789
3549250,2011,1789
4313466,2017,1790
4202099,2015,1790
2514651,2018,1791
4315313,2009,1791
3503356,2019,1791
3165800,2012,1793
3166402,2011,1793
2514651,2016,1793
4313466,2016,1793
3513850,2019,1793
3555703,2017,1793
5209457,2019,1794
3160504,2009,1794
4213906,2008,1794
4217154,2021,1794
3556958,2022,1794
1718659,2012,1794
2510659,2015,1795
4312179,2022,1795
4313466,2015,1795
4322855,2020,1795
4116000,2020,1796
4304614,2011,1796
4308250,2018,1796
4315453,2022,1796
3166402,2012,1797
4123600,2011,1797
4315073,2013,1797
4210555,2019,1797
3549250,2012,1797
3160504,2008,1798
4312179,2015,1798
4312955,2018,1798
4313466,2014,1798
3549250,2008,1798
4306130,2020,1799
4210050,2008,1799
4210050,2017,1799
3513850,2020,1799
5107883,2022,1800
4300554,2022,1800
3549250,2010,1800
3118502,2014,1801
2514651,2019,1801
4313466,2013,1801
2504850,2012,1802
3503950,2012,1802
1712702,2009,1802
1715150,2009,1802
4300554,2017,1803
4312674,2009,1803
5213400,2010,1804
3118502,2015,1804
3149408,2021,1804
3165800,2013,1804
5106703,2009,1804
4123600,2013,1804
4210050,2010,1804
1709807,2013,1804
4300554,2012,1805
4312674,2008,1805
3513850,2021,1805
3149408,2020,1806
3166402,2010,1806
2514651,2017,1806
4116000,2019,1806
4315073,2011,1806
3503950,2011,1806
3118502,2016,1807
3149408,2019,1807
4210050,2016,1807
4217154,2020,1807
3149408,2018,1808
3160504,2022,1808
4312179,2014,1808
5200209,2021,1809
2510659,2014,1809
3556958,2013,1809
3118502,2017,1810
3149408,2022,1810
4304622,2010,1810
3549250,2009,1810
2514651,2020,1811
4317251,2010,1811
3503356,2018,1811
3166402,2008,1812
3160504,2017,1813
1709807,2009,1813
1721257,2016,1813
1712157,2015,1814
3160504,2016,1815
4300554,2016,1815
4322855,2019,1815
4202099,2014,1815
4208955,2010,1815
4210050,2012,1815
4210050,2015,1815
3503950,2021,1815
3556958,2014,1815
3160504,2015,1816
2510659,2012,1816
4116000,2018,1816
3503950,2010,1816
4304614,2017,1817
4312625,2011,1817
3160504,2014,1818
3166402,2009,1818
4322855,2022,1818
3503950,2020,1818
3555208,2022,1818
3166402,2022,1819
4312179,2013,1819
4315131,2017,1819
3160504,2013,1820
4312625,2012,1820
4217154,2019,1820
2514651,2021,1821
4210050,2011,1821
3556958,2015,1821
2414902,2022,1822
3503950,2019,1822
2510659,2013,1823
4304614,2016,1823
4210050,2014,1823
3555703,2018,1823
2504850,2022,1824
3532843,2021,1824
3147501,2009,1825
3503950,2018,1825
3529658,2010,1825
2414902,2008,1826
4300554,2011,1826
3503950,2009,1826
4315131,2012,1827
3555307,2017,1827
3556958,2016,1827
4300554,2015,1828
4304614,2015,1828
3123502,2022,1829
5200209,2020,1830
5204953,2020,1830
3165800,2011,1830
4320578,2022,1830
4211876,2009,1830
5106703,2008,1831
4312179,2010,1831
4210050,2013,1831
3503950,2008,1831
4315131,2016,1832
3536570,2018,1832
4306130,2019,1833
4217154,2018,1833
3536570,2019,1833
3556958,2017,1833
2512606,2013,1834
4304614,2014,1834
3536570,2020,1834
3556958,2018,1834
4322855,2018,1835
3536570,2021,1835
4107520,2009,1836
3536570,2013,1836
3536570,2014,1837
3147501,2008,1838
3149408,2013,1838
4313466,2010,1838
3536570,2015,1839
3149408,2014,1840
4123600,2010,1840
3536570,2016,1840
3556958,2019,1840
3149408,2015,1841
4300554,2014,1841
4304614,2013,1841
3536570,2017,1841
3149408,2016,1842
3165800,2010,1842
4315313,2013,1842
4202099,2013,1842
3503950,2017,1842
3503950,2022,1842
3149408,2017,1843
1709807,2014,1843
1721257,2017,1843
4312625,2010,1844
3536570,2010,1844
3555703,2019,1844
3503950,2016,1845
1712157,2016,1845
3123502,2011,1846
4314787,2009,1846
4315313,2014,1846
4315313,2018,1846
4210555,2018,1846
3549250,2022,1846
3556958,2020,1846
1715150,2022,1846
4315131,2015,1847
3166402,2018,1848
4116000,2012,1848
4217154,2017,1848
3503950,2015,1848
1715150,2008,1848
4107520,2022,1849
4315313,2015,1849
4315313,2019,1849
5200209,2019,1850
3123502,2012,1850
3546256,2010,1850
5200209,2022,1851
3166402,2019,1851
4315131,2011,1851
3503950,2014,1851
5209457,2018,1852
4107520,2017,1852
4315313,2016,1852
4211876,2008,1852
3532843,2020,1852
3556958,2021,1852
4202099,2012,1853
3166402,2020,1854
4310751,2021,1854
3503950,2013,1854
3555307,2016,1854
3165800,2009,1855
3166402,2013,1855
4116000,2011,1855
2504850,2013,1856
2512788,2013,1856
2414902,2009,1856
4300554,2013,1856
4315313,2017,1856
4315313,2020,1856
4200754,2022,1856
3503356,2017,1856
1720853,2013,1856
3166402,2021,1857
4205191,2009,1857
4302378,2021,1858
4312005,2022,1858
3166402,2014,1860
4315313,2021,1860
4202099,2011,1860
4217154,2016,1860
3529104,2022,1860
1721257,2018,1860
4315131,2014,1862
4312625,2008,1864
4314787,2008,1864
5213400,2009,1865
3166402,2015,1865
3549250,2013,1865
3555703,2020,1865
3103108,2010,1866
3153806,2011,1867
2512606,2014,1868
3168200,2012,1869
3168200,2021,1869
3166402,2016,1870
4306130,2018,1870
3168200,2011,1871
4310462,2021,1871
5200209,2018,1872
3153806,2012,1872
3168200,2020,1872
4312625,2009,1872
4217154,2015,1872
3145406,2017,1873
4319752,2008,1873
3503356,2016,1873
3166402,2017,1874
2504850,2014,1874
3515806,2010,1874
1721307,2022,1874
3168200,2019,1875
4107520,2016,1875
4116000,2017,1875
3549250,2014,1875
1712157,2017,1875
4304622,2009,1877
4205191,2008,1877
4315131,2013,1878
1720853,2014,1878
3168200,2018,1879
3168200,2010,1880
2501153,2015,1880
4116000,2016,1880
4310462,2020,1880
4312179,2009,1880
3529658,2012,1880
5213400,2008,1881
4310751,2020,1881
4208955,2009,1881
3532843,2019,1881
1709807,2015,1881
3153806,2010,1882
4107520,2008,1882
4123600,2009,1882
4304622,2008,1882
4317251,2008,1883
3529658,2011,1883
3555307,2015,1883
3103306,2009,1885
3123502,2010,1885
4116000,2015,1885
4312625,2013,1885
4217154,2014,1885
3549250,2015,1885
4300554,2010,1886
3555703,2021,1886
4204756,2011,1887
4207858,2021,1887
4217154,2012,1887
3153806,2008,1888
3168200,2009,1888
4306759,2022,1888
4312625,2018,1888
4310462,2019,1889
4320453,2021,1889
2512788,2014,1890
4107520,2010,1890
4116000,2014,1890
4312625,2014,1890
3503356,2012,1890
3503356,2015,1890
3168200,2008,1891
4319752,2009,1891
1721257,2019,1891
2504850,2015,1892
4204756,2012,1892
1712157,2018,1892
3145406,2016,1893
4312625,2019,1893
4317251,2009,1893
4208955,2008,1893
