Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2022,Norte,AM,1300607,Benjamin Constant,Rural,Pública,95.3,1.0,3.7
2022,Norte,AM,1300631,Beruri,Rural,Pública,89.1,8.1,2.8
2022,Norte,AM,1300680,Boa Vista do Ramos,Rural,Pública,91.0,0.7,8.3
2022,Norte,AM,1300706,Boca do Acre,Rural,Pública,89.9,0.0,10.1
2022,Norte,AM,1300805,Borba,Rural,Pública,81.0,6.8,12.2
2022,Norte,AM,1300839,Caapiranga,Rural,Pública,84.8,8.1,7.1
2022,Norte,AM,1300904,Canutama,Rural,Pública,61.7,14.2,24.1
2022,Norte,AM,1301001,Carauari,Rural,Pública,84.4,15.2,0.4
2022,Norte,AM,1301100,Careiro,Rural,Pública,88.1,4.0,7.9
2022,Norte,AM,1301159,Careiro da Várzea,Rural,Pública,88.3,6.7,5.0
2022,Norte,AM,1301209,Coari,Rural,Pública,94.4,1.3,4.3
2022,Norte,AM,1301308,Codajás,Rural,Pública,83.9,1.8,14.3
2022,Norte,AM,1301407,Eirunepé,Rural,Pública,--,--,--
2022,Norte,AM,1301506,Envira,Rural,Pública,--,--,--
2022,Norte,AM,1301605,Fonte Boa,Rural,Pública,90.6,2.1,7.3
2022,Norte,AM,1301654,Guajará,Rural,Pública,71.2,0.5,28.3
2022,Norte,AM,1301704,Humaitá,Rural,Pública,88.1,1.4,10.5
2022,Norte,AM,1301803,Ipixuna,Rural,Pública,81.9,2.7,15.4
2022,Norte,AM,1301852,Iranduba,Rural,Pública,84.9,5.1,10.0
2022,Norte,AM,1301902,Itacoatiara,Rural,Pública,84.1,4.1,11.8
2022,Norte,AM,1301951,Itamarati,Rural,Pública,--,--,--
2022,Norte,AM,1302009,Itapiranga,Rural,Pública,93.2,1.7,5.1
2022,Norte,AM,1302108,Japurá,Rural,Pública,88.8,7.2,4.0
2022,Norte,AM,1302207,Juruá,Rural,Pública,90.7,8.2,1.1
2022,Norte,AM,1302306,Jutaí,Rural,Pública,91.6,3.9,4.5
2022,Norte,AM,1302405,Lábrea,Rural,Pública,77.2,0.2,22.6
2022,Norte,AM,1302504,Manacapuru,Rural,Pública,92.3,5.4,2.3
2022,Norte,AM,1302553,Manaquiri,Rural,Pública,89.2,1.7,9.1
2022,Norte,AM,1302603,Manaus,Rural,Pública,89.1,0.0,10.9
2022,Norte,AM,1302702,Manicoré,Rural,Pública,74.4,11.0,14.6
2022,Norte,AM,1302801,Maraã,Rural,Pública,80.3,18.9,0.8
2022,Norte,AM,1302900,Maués,Rural,Pública,85.1,3.3,11.6
2022,Norte,AM,1303007,Nhamundá,Rural,Pública,92.9,2.0,5.1
2022,Norte,AM,1303106,Nova Olinda do Norte,Rural,Pública,82.3,3.6,14.1
2022,Norte,AM,1303205,Novo Airão,Rural,Pública,78.7,0.0,21.3
2022,Norte,AM,1303304,Novo Aripuanã,Rural,Pública,94.5,4.3,1.2
2022,Norte,AM,1303403,Parintins,Rural,Pública,93.0,1.5,5.5
2022,Norte,AM,1303502,Pauini,Rural,Pública,35.5,64.5,0.0
2022,Norte,AM,1303536,Presidente Figueiredo,Rural,Pública,90.6,2.2,7.2
2022,Norte,AM,1303569,Rio Preto da Eva,Rural,Pública,71.8,2.3,25.9
2022,Norte,AM,1303601,Santa Isabel do Rio Negro,Rural,Pública,93.5,0.0,6.5
2022,Norte,AM,1303700,Santo Antônio do Içá,Rural,Pública,83.6,12.8,3.6
2022,Norte,AM,1303809,São Gabriel da Cachoeira,Rural,Pública,78.0,2.3,19.7
2022,Norte,AM,1303908,São Paulo de Olivença,Rural,Pública,86.8,1.7,11.5
2022,Norte,AM,1303957,São Sebastião do Uatumã,Rural,Pública,93.9,6.1,0.0
2022,Norte,AM,1304005,Silves,Rural,Pública,83.2,13.0,3.8
2022,Norte,AM,1304062,Tabatinga,Rural,Pública,81.5,2.9,15.6
2022,Norte,AM,1304104,Tapauá,Rural,Pública,84.1,12.7,3.2
2022,Norte,AM,1304203,Tefé,Rural,Pública,79.1,11.6,9.3
2022,Norte,AM,1304237,Tonantins,Rural,Pública,91.3,3.4,5.3
2022,Norte,AM,1304260,Uarini,Rural,Pública,79.5,18.0,2.5
2022,Norte,AM,1304302,Urucará,Rural,Pública,92.3,0.4,7.3
2022,Norte,AM,1304401,Urucurituba,Rural,Pública,93.4,4.4,2.2
2022,Norte,RR,1400027,Amajari,Rural,Pública,66.7,5.1,28.2
2022,Norte,RR,1400050,Alto Alegre,Rural,Pública,85.0,0.6,14.4
2022,Norte,RR,1400100,Boa Vista,Rural,Pública,89.8,3.5,6.7
2022,Norte,RR,1400159,Bonfim,Rural,Pública,75.5,7.1,17.4
2022,Norte,RR,1400175,Cantá,Rural,Pública,81.7,2.9,15.4
2022,Norte,RR,1400209,Caracaraí,Rural,Pública,85.9,6.8,7.3
2022,Norte,RR,1400233,Caroebe,Rural,Pública,84.8,1.9,13.3
2022,Norte,RR,1400282,Iracema,Rural,Pública,79.4,0.7,19.9
2022,Norte,RR,1400308,Mucajaí,Rural,Pública,67.8,9.6,22.6
2022,Norte,RR,1400407,Normandia,Rural,Pública,82.4,5.4,12.2
2022,Norte,RR,1400456,Pacaraima,Rural,Pública,77.4,8.2,14.4
2022,Norte,RR,1400472,Rorainópolis,Rural,Pública,72.6,2.5,24.9
2022,Norte,RR,1400506,São João da Baliza,Rural,Pública,75.0,25.0,0.0
2022,Norte,RR,1400605,São Luiz,Rural,Pública,94.4,0.0,5.6
2022,Norte,RR,1400704,Uiramutã,Rural,Pública,85.2,1.3,13.5
2022,Norte,PA,1500107,Abaetetuba,Rural,Pública,80.9,12.4,6.7
2022,Norte,PA,1500131,Abel Figueiredo,Rural,Pública,--,--,--
2022,Norte,PA,1500206,Acará,Rural,Pública,--,--,--
2022,Norte,PA,1500305,Afuá,Rural,Pública,--,--,--
2022,Norte,PA,1500347,Água Azul do Norte,Rural,Pública,82.4,9.2,8.4
2022,Norte,PA,1500404,Alenquer,Rural,Pública,--,--,--
2022,Norte,PA,1500503,Almeirim,Rural,Pública,--,--,--
2022,Norte,PA,1500602,Altamira,Rural,Pública,--,--,--
2022,Norte,PA,1500701,Anajás,Rural,Pública,--,--,--
2022,Norte,PA,1500800,Ananindeua,Rural,Pública,--,--,--
2022,Norte,PA,1500859,Anapu,Rural,Pública,--,--,--
2022,Norte,PA,1500909,Augusto Corrêa,Rural,Pública,76.2,8.9,14.9
2022,Norte,PA,1500958,Aurora do Pará,Rural,Pública,69.1,19.4,11.5
2022,Norte,PA,1501006,Aveiro,Rural,Pública,--,--,--
2022,Norte,PA,1501105,Bagre,Rural,Pública,--,--,--
2022,Norte,PA,1501204,Baião,Rural,Pública,70.1,7.3,22.6
2022,Norte,PA,1501253,Bannach,Rural,Pública,--,--,--
2022,Norte,PA,1501303,Barcarena,Rural,Pública,81.2,5.6,13.2
2022,Norte,PA,1501402,Belém,Rural,Pública,--,--,--
2022,Norte,PA,1501451,Belterra,Rural,Pública,--,--,--
2022,Norte,PA,1501501,Benevides,Rural,Pública,--,--,--
2022,Norte,PA,1501576,Bom Jesus do Tocantins,Rural,Pública,70.0,22.4,7.6
2022,Norte,PA,1501600,Bonito,Rural,Pública,--,--,--
2022,Norte,PA,1501709,Bragança,Rural,Pública,64.2,17.4,18.4
2022,Norte,PA,1501725,Brasil Novo,Rural,Pública,--,--,--
2022,Norte,PA,1501758,Brejo Grande do Araguaia,Rural,Pública,--,--,--
2022,Norte,PA,1501782,Breu Branco,Rural,Pública,83.8,2.4,13.8
2022,Norte,PA,1501808,Breves,Rural,Pública,--,--,--
2022,Norte,PA,1501907,Bujaru,Rural,Pública,69.3,7.5,23.2
2022,Norte,PA,1501956,Cachoeira do Piriá,Rural,Pública,69.7,17.0,13.3
2022,Norte,PA,1502004,Cachoeira do Arari,Rural,Pública,67.6,18.8,13.6
2022,Norte,PA,1502103,Cametá,Rural,Pública,78.4,8.9,12.7
2022,Norte,PA,1502152,Canaã dos Carajás,Rural,Pública,--,--,--
2022,Norte,PA,1502202,Capanema,Rural,Pública,78.8,5.8,15.4
2022,Norte,PA,1502301,Capitão Poço,Rural,Pública,77.4,2.0,20.6
2022,Norte,PA,1502400,Castanhal,Rural,Pública,69.1,27.0,3.9
2022,Norte,PA,1502509,Chaves,Rural,Pública,--,--,--
